treated,control
80305010,36150010
20480010,22837010
50223010,74494010
39607020,12971020
40108010,39690010
34200010,51259010
72009010,12274010
79545010,31347010
10050010,22515020
79059020,84418010
57627010,83756010
40560010,79481010
86821020,45867010
59920020,51098020
24161010,78909010
80308010,81111020
45715020,24109010
15140010,73663010
78644020,14758020
78443010,77851020
19903010,50852010
77675010,60386020
82909010,48962010
38811020,81364010
19053010,35008020
13813010,51835010
35208010,34497020
41222010,32260020
53905010,77731010
10941010,39246010
38383010,45277010
32904010,76793010
37541010,42337010
18508010,74243010
64159010,74550010
39378010,15436020
41532010,84926010
61220010,82154010
55106010,54831010
54240010,36915010
74459020,19054010
37618020,84194010
34823010,22568010
18646010,11590020
57627020,46165010
78843010,41077020
203682020,75360010
54027010,81059020
84567010,60537020
71765020,59159020
21268010,48406020
48135010,73579020
20315020,48585020
17613010,80836010
43135020,86921020
45373010,34350020
13573010,22506020
75926010,40552010
79858020,45998010
78356010,45848010
39582010,16660020
82689010,16510020
16989010,47295010
55518010,87095010
39275020,65015020
85333010,23831010
50763020,50583020
23461020,77526010
15625010,85540020
11241010,51044010
12573010,96578010
38862010,50594010
60553020,13371010
22974010,12242010
45100010,12009010
82973010,78367020
36081010,31902020
14201010,36201010
12671010,45505010
50362010,74461010
85527020,33884010
51018010,73876010
11690010,48767010
53302010,24458020
82632010,16237020
42355010,22229010
54965010,21012020
46830010,12401010
73576010,39951010
19935010,78502010
85432010,20161020
36201020,24650020
59688010,53853020
36489010,53065010
82692010,47515020
85625010,73982010
85530010,11667020
75034010,79194010
86553020,35793010
49489020,39187020
48970010,45875010
72159020,19629020
53700010,16404020
51921010,36682020
53926010,16233010
18345020,79245020
12054010,87520020
85000010,32265010
40115020,46814010
36549020,34728020
43179010,81834010
84717010,48257010
14247010,37297010
85926010,50546010
78840010,64675020
70989020,23596010
71852010,49554020
41713010,39053010
58752010,76071010
23500010,35507020
73934010,16996010
11826010,46131010
20869010,13527020
85196020,10989020
36734020,31847010
82694020,23258020
63712020,47597010
20080020,34769010
58024020,43345020
11787010,33415010
14996010,37709020
49697020,20700010
33914010,94741010
74510010,43298010
85066010,16500020
85204010,85432020
47764010,76645010
17833010,45438020
63028020,44604020
82989010,12276020
33392010,46777010
45053010,45333020
54113020,41188020
10994010,24769020
72133010,82778010
58652010,82990020
48914010,84039010
76404010,32558020
17922010,76077010
63564010,22193020
18309020,36753010
18155020,32801010
47697020,33562010
72106010,60383020
36445010,87116010
20397010,12252010
81920010,20865010
79991020,50143020
72616020,33566010
52281010,39557010
56747010,45613010
58567020,71487010
63712010,51596020
20421010,17773010
13137020,10468010
80413010,21011010
23965010,43430010
72436010,87856020
37250020,31929010
56609010,77264010
86167010,86921010
46559010,50716010
22042010,76471010
79450010,46188010
19877010,86585010
80593010,77994020
11793010,65015010
14397020,31014020
55120010,33558020
21002010,15986010
39766010,86621010
55574020,74744020
43587020,16086010
40438010,58811020
22266010,54756010
84754010,19620010
79162010,80670010
30246010,17775020
62176010,82795020
10719020,32921010
64032010,30091010
35838020,38743010
76274010,17356010
75735010,18889010
20549010,77984020
77718020,77335020
51991010,42063020
77642010,16119010
22980010,79942010
51908020,32572010
22266020,37732010
31333020,40875010
60072010,49511010
30761010,41941010
75958010,14619020
35753020,17047010
34957010,86345020
60723010,34975020
65111010,45606010
21019020,61000020
35169010,45923020
22454010,15440010
16827010,33167010
37082020,24417020
43718010,37496010
46760020,53879020
59920010,11570010
31333010,78996010
31450010,81287010
60831010,83621020
75699010,33889010
78957010,55088020
39189010,44202020
78585020,14746010
80161010,11678010
47514010,35785020
50158010,43257020
23049010,45107010
23827010,50384010
33109010,78624020
59864010,21742020
48855010,60894010
85061010,60494010
45168020,21928020
24218010,45869020
15784010,54593010
51577020,22738020
23913010,36129020
79634010,36234010
39505020,79096010
76766010,87840020
23967010,36179020
78672020,40757020
17388010,45333010
50517010,19454020
22784020,42327010
71179010,40908010
48228020,60880020
87497010,41092010
75409010,57117020
73391010,19759020
82907010,17136010
39082020,52361010
13656010,24056020
72535010,32321010
48997010,30792010
20010010,25237010
72967010,86068010
93971010,42161020
53528010,55721010
36236010,40621010
18963010,50342010
53525010,54629020
12394010,15592010
83181010,39879020
10013010,47660020
54586020,37844010
48507010,23855020
41932010,41212010
34678010,25224010
60695010,41394020
71562010,24103010
83307010,14411010
35451010,38525010
33221020,38524020
21117010,16736010
41754010,44602020
17833020,50145020
84298020,54143010
59347010,46012010
85372020,15195020
85766010,58895010
12648010,17046020
59345010,31821020
52313010,45196010
44910020,20455020
56912020,33387020
15257010,24884020
50587020,36675010
21402020,16648020
21268020,55197010
30891010,36667020
41353020,11933010
83871020,58508010
66019010,20384010
48250010,12405010
60547010,72754020
71202020,87610010
72617010,21359010
42503020,60304010
84131020,34237010
48504020,24417010
79575010,53273010
56856010,58131010
82729010,83842010
11671010,18531020
23581010,51961020
43532020,45869010
30113010,45106010
12196010,87372010
88265020,52965020
55625010,52444010
18439010,47579020
82759020,17107010
31867020,50180010
83860010,85920010
37257010,52361020
48596020,21924010
47142010,36757020
15893010,57586020
30781010,80670020
64394010,45699010
58974010,53856020
57629010,77134020
60768010,77470010
43468010,76933010
81249010,47582010
34213020,50380020
74372010,19585010
45175010,86882020
86496010,51975020
41713020,81849010
11802010,41076010
83217020,53063010
47344020,81929010
21210010,22267020
53713010,82207010
49383020,20527010
21407010,10956010
10896010,51169020
50243010,207347020
33651010,16631020
82405020,19280010
40223010,77557010
78011010,42366010
71259020,20158010
34395010,47030020
33748020,46806010
79778010,38923020
17363010,10404010
10893010,16500010
60555010,42946020
86329010,18742010
32786020,84005010
51111020,48480020
32701010,84052020
21645010,74265020
44469010,90363020
79505010,78661010
36808010,40155020
22067010,40964020
59998010,11810010
84334020,57509010
36603010,75486010
52413020,61215010
80462020,33544010
30622010,41229020
45276010,80118020
73896010,36758010
84988010,23621020
59399010,44109020
82494010,52075020
59086010,38017010
3010,81933010
48828020,51500020
51075010,87061010
87044020,79869010
45213020,23489010
83533020,12443010
36393010,41141010
34291020,49701020
35201010,24274010
11862020,34769020
15709020,82260010
36689010,86820020
72431010,14748020
75734010,51680010
16116020,71201010
83641010,42549010
15758010,12162010
76111010,14803010
54819020,54082020
71272010,84135010
49137010,36206010
78589010,38666010
21410010,50520010
98001010,51478010
71305010,79760010
44754020,50788010
45433010,75061010
34319010,63243010
13816010,45378010
23067010,50596020
74285010,52270020
32126020,23366020
50259010,17239020
21721020,43113020
52946010,95650010
21873010,49448010
48556010,40153020
48524020,72803010
62183010,60406010
35644010,62295020
77441010,75505010
24132010,22245010
38548010,92011010
60196010,47341020
48327010,38538010
84313010,19052010
81245010,84148020
51106010,83228010
49207020,74354010
16250010,22245020
62753020,43837010
40608010,51752010
37618010,85421020
57296020,83051020
37942020,41170010
47074020,45400010
30804020,85220020
16672010,79433010
82401020,45413020
72721010,24902010
22333020,17924010
52873010,52894010
43873010,30118010
54188010,22370020
76697010,58122010
76550010,57921010
31326010,22905010
85910010,46109010
46769010,40577010
86261010,57117010
57093010,76884020
72353020,24168010
61041020,17366010
33073010,21520010
22429010,73945010
79180010,44535020
21080010,44067020
51466020,76013010
15189010,56010010
16603010,54486010
30491020,48988010
51795010,85979010
48825020,50869020
41480010,31813020
62089010,39879010
58064010,54384010
79157010,10397010
31303020,84267020
42503010,10776010
59599010,25232010
53515010,57617010
10225010,33935010
56703010,15734010
37160010,16035010
75903010,22262010
78476010,39914020
51106020,82425010
53052010,44075010
205584020,80672020
81821020,35636020
48938020,45133020
44190010,25234010
62186010,90889010
19403010,38531010
33553010,36257010
75596020,76218010
45053020,19746010
41926010,19031020
34371010,20293010
49015010,80712020
87114020,36677020
32937010,52460010
22936010,20862010
84348020,45786020
13738010,32379010
44934010,75924020
76301010,16062010
84199010,71853010
79292010,86009020
49199010,12285010
97589020,18808010
13296010,13820010
37515020,84643010
61205010,25624010
87665010,22984010
61015020,60793010
14640010,84772020
83078010,47831010
71202010,33842020
51108010,40929020
22930020,38950010
52399010,56089010
14341010,42938010
74656010,82092010
56660010,56076010
15776010,59007010
15159010,21746010
48870010,12344010
51489020,61060020
23609010,16650020
79874010,84635010
75134010,12512010
18707020,71402020
19988010,43151010
52672010,13817010
85010020,75515010
75582010,37048020
17982010,24411020
18734010,30873010
37158010,43787010
19216010,16994010
41979020,22034010
86724010,83836020
18896010,54298020
54542020,20860010
60293010,32542010
31318010,41059020
48504010,45870010
13808010,35685020
48282010,204928020
11506010,18686020
14149020,79704010
74892010,84013010
60615020,17136020
56489010,54602010
58125010,73138010
61251010,46291020
22174010,57898010
11478010,21742010
50223020,42568010
80216020,43497010
34222010,72308010
13418010,50591020
76493010,98097020
33217010,77612010
83920010,18782010
53645010,35362010
21682010,57941020
71431010,48491010
21720010,87278020
48528010,47242020
47582020,64039010
82871010,37364020
18992010,77882010
77001020,78747010
30423010,18363010
83131010,30829010
79101010,15056020
12106010,59939010
49801010,33884020
74521010,75988020
56747020,80605010
58605010,50576010
59696010,39111010
44975020,33554010
44506010,41946010
48410010,51387010
50432010,53095010
17050020,52354010
18212010,25281020
46384010,46448010
16973020,35605010
52873020,37948020
54735020,76974010
13231010,49729010
22762010,38932010
84009010,85573020
44003020,43856010
40260010,34290020
64757010,32821010
79310010,32664020
20887010,87623010
47535020,48982010
58267010,24660010
58648010,22330010
44710020,52778020
54763010,53017010
48534010,76884010
65482010,46423010
87542010,37490020
71724010,23039020
95841010,56318010
31995010,99231010
75596010,45173020
44369020,82147020
51302010,21442010
53021010,48706010
35451020,49175010
14802010,52392010
74053010,80899020
23014010,79164010
76916010,38762010
11377010,44595020
56072010,23140010
65984010,35849010
84443010,73408010
17031010,77300010
83503010,49712020
22731020,40711010
95033010,65881020
50181020,25087010
43027010,46138020
54616010,32956020
85569020,74744010
44319020,74127010
63780010,54317020
87478010,61252010
71770010,20524010
75686010,23610010
52996010,10099010
87247010,45889010
18245020,25623020
82401010,38530020
83641020,14852020
86553010,77526020
81107010,34974020
50885010,21922020
71173010,30314010
42496010,32929010
71727010,65976020
79289020,36536010
71962010,13753010
22973010,54524010
22470010,39411020
10565020,81986020
13231020,71390020
